x,y,layer1,layer2,voltage1,voltage2,current
2390.76,-2746.52,TOP_LAYER,BOTTOM_LAYER,0.0308775,0.0300304,1.30798
2390.76,-2646.52,TOP_LAYER,BOTTOM_LAYER,8.18456,8.18456,-3.56565e-11
2390.76,-2546.52,TOP_LAYER,BOTTOM_LAYER,8.18455,8.18229,3.48846
2390.76,-2446.52,TOP_LAYER,BOTTOM_LAYER,0.0308915,0.0333048,-3.72634
2488.39,-5230.73,TOP_LAYER,BOTTOM_LAYER,0.0103054,0.0102104,0.0967275
2488.39,-4600.81,TOP_LAYER,BOTTOM_LAYER,0.0108345,0.0106126,0.226139
2488.39,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.0309665,0.0310696,-0.105007
2604.37,-3345.13,TOP_LAYER,BOTTOM_LAYER,0.0227414,0.0225293,0.290384
2604.37,-3245.13,TOP_LAYER,BOTTOM_LAYER,8.1886,8.18609,3.42886
2604.37,-3145.13,TOP_LAYER,BOTTOM_LAYER,0.0286639,0.0310612,-3.28235
2604.37,-2645.13,TOP_LAYER,BOTTOM_LAYER,0.0286896,0.0286883,0.00183957
2604.37,-2545.13,TOP_LAYER,BOTTOM_LAYER,8.17969,8.17712,3.51154
2604.37,-2445.13,TOP_LAYER,BOTTOM_LAYER,0.03559,0.0379809,-3.27366
2645.87,-4915.77,TOP_LAYER,BOTTOM_LAYER,0.0106942,0.0106141,0.0816047
2645.87,-4285.85,TOP_LAYER,BOTTOM_LAYER,0.0140271,0.0135877,0.447765
2645.87,-3026.01,TOP_LAYER,BOTTOM_LAYER,0.0266877,0.0256951,1.01154
2645.87,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.0305951,0.0306496,-0.0555364
2803.35,-4600.81,TOP_LAYER,BOTTOM_LAYER,0.0121662,0.0122206,-0.0554523
2803.35,-2081.13,TOP_LAYER,BOTTOM_LAYER,0.030135,0.0300396,0.0972418
2803.35,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.0307883,0.0308278,-0.04022
2960.83,-4285.85,TOP_LAYER,BOTTOM_LAYER,0.0145581,0.0146216,-0.0646772
2960.83,-3655.93,TOP_LAYER,BOTTOM_LAYER,0.019287,0.0198161,-0.539221
2960.83,-2396.09,TOP_LAYER,BOTTOM_LAYER,0.0284177,0.0284696,-0.0528373
2960.83,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.030407,0.0303543,0.0537484
3118.31,-3970.89,TOP_LAYER,BOTTOM_LAYER,0.0174125,0.0175414,-0.131412
3118.31,-3340.97,TOP_LAYER,BOTTOM_LAYER,0.0204841,0.0209911,-0.516622
3118.31,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.0273068,0.0274908,-0.187455
3118.31,-2081.13,TOP_LAYER,BOTTOM_LAYER,0.0299731,0.0296108,0.369202
3275.79,-3026.01,TOP_LAYER,BOTTOM_LAYER,0.024517,0.024571,-0.0550248
